[cudnnSetConvolutionNdDescriptor] [{convDesc:1049449}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049455}, {padA:(1, 1)}, {filterStrideA:(2, 2)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049461}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049467}, {padA:(0, 0)}, {filterStrideA:(2, 2)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049473}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049479}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049485}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049491}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049497}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049503}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
