[cudnnSetTensorNdDescriptor] [{tensorDesc:1048772}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048773}, {dimA:(1, 512, 1, 1)}, {strideA:(512, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048774}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048776}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048778}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048779}, {dimA:(1, 128, 1, 1)}, {strideA:(128, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048780}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048782}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048784}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048785}, {dimA:(1, 128, 1, 1)}, {strideA:(128, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048786}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048788}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048790}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048791}, {dimA:(1, 512, 1, 1)}, {strideA:(512, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048792}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048794}, {dimA:(1, 256, 28, 28)}, {strideA:(200704, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048796}, {dimA:(1, 256, 28, 28)}, {strideA:(200704, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048797}, {dimA:(1, 256, 1, 1)}, {strideA:(256, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048798}, {dimA:(1, 256, 28, 28)}, {strideA:(200704, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048800}, {dimA:(1, 256, 14, 14)}, {strideA:(50176, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048802}, {dimA:(1, 256, 14, 14)}, {strideA:(50176, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048803}, {dimA:(1, 256, 1, 1)}, {strideA:(256, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048804}, {dimA:(1, 256, 14, 14)}, {strideA:(50176, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048806}, {dimA:(1, 1024, 14, 14)}, {strideA:(200704, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048808}, {dimA:(1, 1024, 14, 14)}, {strideA:(200704, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048809}, {dimA:(1, 1024, 1, 1)}, {strideA:(1024, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048810}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048812}, {dimA:(1, 1024, 14, 14)}, {strideA:(200704, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048814}, {dimA:(1, 1024, 14, 14)}, {strideA:(200704, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048815}, {dimA:(1, 1024, 1, 1)}, {strideA:(1024, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048816}, {dimA:(1, 1024, 14, 14)}, {strideA:(200704, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048818}, {dimA:(1, 256, 14, 14)}, {strideA:(50176, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048820}, {dimA:(1, 256, 14, 14)}, {strideA:(50176, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048821}, {dimA:(1, 256, 1, 1)}, {strideA:(256, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048822}, {dimA:(1, 256, 14, 14)}, {strideA:(50176, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048824}, {dimA:(1, 256, 14, 14)}, {strideA:(50176, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048826}, {dimA:(1, 256, 14, 14)}, {strideA:(50176, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048827}, {dimA:(1, 256, 1, 1)}, {strideA:(256, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048828}, {dimA:(1, 256, 14, 14)}, {strideA:(50176, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048830}, {dimA:(1, 1024, 14, 14)}, {strideA:(200704, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048832}, {dimA:(1, 1024, 14, 14)}, {strideA:(200704, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048833}, {dimA:(1, 1024, 1, 1)}, {strideA:(1024, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048834}, {dimA:(1, 1024, 14, 14)}, {strideA:(200704, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048836}, {dimA:(1, 256, 14, 14)}, {strideA:(50176, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048838}, {dimA:(1, 256, 14, 14)}, {strideA:(50176, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048839}, {dimA:(1, 256, 1, 1)}, {strideA:(256, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048840}, {dimA:(1, 256, 14, 14)}, {strideA:(50176, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048842}, {dimA:(1, 256, 14, 14)}, {strideA:(50176, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048844}, {dimA:(1, 256, 14, 14)}, {strideA:(50176, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048845}, {dimA:(1, 256, 1, 1)}, {strideA:(256, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048846}, {dimA:(1, 256, 14, 14)}, {strideA:(50176, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048848}, {dimA:(1, 1024, 14, 14)}, {strideA:(200704, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048850}, {dimA:(1, 1024, 14, 14)}, {strideA:(200704, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048851}, {dimA:(1, 1024, 1, 1)}, {strideA:(1024, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048852}, {dimA:(1, 1024, 14, 14)}, {strideA:(200704, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048854}, {dimA:(1, 256, 14, 14)}, {strideA:(50176, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048856}, {dimA:(1, 256, 14, 14)}, {strideA:(50176, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048857}, {dimA:(1, 256, 1, 1)}, {strideA:(256, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048858}, {dimA:(1, 256, 14, 14)}, {strideA:(50176, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048860}, {dimA:(1, 256, 14, 14)}, {strideA:(50176, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048862}, {dimA:(1, 256, 14, 14)}, {strideA:(50176, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048863}, {dimA:(1, 256, 1, 1)}, {strideA:(256, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048864}, {dimA:(1, 256, 14, 14)}, {strideA:(50176, 196, 14, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048866}, {dimA:(1, 1024, 14, 14)}, {strideA:(200704, 196, 14, 1)}]
